Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago,user
0.2263,Thu Sep 27 17:02:07 +0000 2018,0.756,0.089,0.155,1045357930659352576,"This is the quiz where you have to play the answer as well as say it. Famous faces battle it out, testing their ski… https://t.co/WXXa78QNdD",29,@BBC
-0.128,Thu Sep 27 16:03:09 +0000 2018,0.933,0.067,0.0,1045343093854228482,Got a bag of frozen peas lurking at the back of the freezer? Here are 7 things you can do with them. 😋🍴… https://t.co/innpVg70hh,30,@BBC
-0.5574,Thu Sep 27 15:31:07 +0000 2018,0.806,0.194,0.0,1045335033215668225,"John Cunliffe, creator of Postman Pat and Rosie and Jim, has died aged 85. https://t.co/OoHcAgZsu5 https://t.co/PEwPmaItNP",31,@BBC
0.5719,Thu Sep 27 15:06:35 +0000 2018,0.829,0.0,0.171,1045328855551148032,"Flying squirrels are secretive creatures but if you're lucky, you might meet one. Or two. Or three. 😮🐿

https://t.co/vx8aM2dHRt",32,@BBC
-0.4201,Thu Sep 27 14:03:05 +0000 2018,0.883,0.117,0.0,1045312878990036992,"""It's very difficult not to tie your self-worth to the size of your audience"".

@hankgreen on the darker side of in… https://t.co/EF0u3XM6Nj",33,@BBC
0.4939,Thu Sep 27 13:46:00 +0000 2018,0.878,0.0,0.122,1045308577915834374,"If half of the UK switched to reusable water bottles, we'd save enough plastic to stretch to the moon and back in j… https://t.co/HEtqsCQbly",34,@BBC
0.0,Thu Sep 27 13:10:27 +0000 2018,1.0,0.0,0.0,1045299630144192513,RT @BBCNews: Postman Pat and Rosie and Jim author John Cunliffe dies https://t.co/VPI0iFKwaA,35,@BBC
-0.4019,Thu Sep 27 13:03:06 +0000 2018,0.476,0.299,0.225,1045297781282361344,"""Dear haters, you're going to hate this."" 

Oliver reacts to Scotland's 'Dear Transphobes' campaign.

https://t.co/uayhqEP7jP",36,@BBC
0.0,Thu Sep 27 12:32:06 +0000 2018,1.0,0.0,0.0,1045289980690608128,"What a moment! 😮 🐙

A man has been filmed being slapped in the face with a large octopus thrown by a seal. 👉… https://t.co/QxUgZSSXnX",37,@BBC
-0.7579,Thu Sep 27 11:03:03 +0000 2018,0.649,0.351,0.0,1045267568431431680,"Millions of seahorses are caught every year, threatening their global survival. 💔

https://t.co/CUYoiiYtXa",38,@BBC
0.0,Thu Sep 27 10:44:32 +0000 2018,1.0,0.0,0.0,1045262912238047232,"RT @BBCTwo: BBC Two just got a brand new look.

Check out some of our new Idents in all their glory…

More info here: https://t.co/5WJBbgGY…",39,@BBC
-0.4753,Thu Sep 27 10:02:02 +0000 2018,0.846,0.154,0.0,1045252216754511873,"We feel for Deirdre trying to answer some of these... it's unlikely Agony Aunt letters! ✉️😂 #MockTheWeek

https://t.co/iUev3YVy9v",40,@BBC
0.0,Wed Sep 26 07:02:07 +0000 2018,1.0,0.0,0.0,1044844549615628288,"From Hawarden to Mount Snowdon, it's #MonkmanAndSeagull's Guide To Wales! 🙌 @e_monkman @bobby_seagull 

https://t.co/witW8qatbV",41,@BBC
0.296,Tue Sep 25 20:03:05 +0000 2018,0.855,0.0,0.145,1044678697293426688,"Tonight @JessGlynne, @idlesband, @softcellhq, @Ralph_McTell, @KingPrincess69 and @HakBaker join Jools on the first… https://t.co/Lb6VCJ3eQI",42,@BBC
0.4019,Tue Sep 25 19:03:06 +0000 2018,0.863,0.0,0.137,1044663603759132672,"Christopher Eccleston narrates a film which asks whether, a century later, the lessons learnt in 1918 might help us… https://t.co/BiR6nIr1bz",43,@BBC
0.0,Tue Sep 25 16:32:49 +0000 2018,1.0,0.0,0.0,1044625783904509954,"RT @BBCOne: **BREAKING** Meet your 2018 candidates, as introduced by @MattEdmondson on @bbciplayer &gt;&gt; https://t.co/oUaGVpPBuf

#TheApprenti…",44,@BBC
0.6114,Tue Sep 25 16:02:03 +0000 2018,0.715,0.0,0.285,1044618040439115776,"Happy birthday to the one and only Will Smith! 🎉🎈

https://t.co/CqmihTvPYW",45,@BBC
0.5267,Tue Sep 25 15:02:02 +0000 2018,0.685,0.089,0.226,1044602937039867907,".@BTS_twt have now gone where no K-pop group has gone before: The United Nations.

In a powerful speech, Kim Nam-jo… https://t.co/bkZFU5VfFX",46,@BBC
0.0,Tue Sep 25 14:00:23 +0000 2018,1.0,0.0,0.0,1044587420245733376,"🔤Scrabble players will now be able to use words such as ""OK"" and ""ew"" after a US dictionary company announced it wa… https://t.co/kMHWzb8Gwi",47,@BBC
0.0,Tue Sep 25 13:05:02 +0000 2018,1.0,0.0,0.0,1044573491893338117,"In Sweden, you get paid double to be a parent.

(Via @BBCThree)

https://t.co/daXes3fiZX",48,@BBC
0.0,Tue Sep 25 12:32:05 +0000 2018,1.0,0.0,0.0,1044565201931128833,Indonesian teenager survives 49 days adrift at sea in 'fishing hut'. https://t.co/5rKpohNfRi https://t.co/qlRvoxZGe2,49,@BBC
0.0,Tue Sep 25 11:03:05 +0000 2018,1.0,0.0,0.0,1044542803836116992,"This is what happens when you teach African teenage girls to fly. ✈️

https://t.co/1Kp4Ael1FO",50,@BBC
0.0,Tue Sep 25 10:39:01 +0000 2018,1.0,0.0,0.0,1044536744912326656,"RT @bbcpress: 👉 Meet the new #TheApprentice contestants. Who will be the first to hear the words ""you're fired""? Series starts 3 October on…",51,@BBC
0.0,Tue Sep 25 10:03:02 +0000 2018,1.0,0.0,0.0,1044527689330241536,"Who knew eating a pizza could be this filthy? 😂🍕 #QI

https://t.co/eeYWlRL9eV",52,@BBC
0.4215,Tue Sep 25 08:53:02 +0000 2018,0.872,0.0,0.128,1044510074092343296,"♻️ It's so different from place to place… is there an easier way to sort this plastic recycling? 

https://t.co/75TG6dddQd",53,@BBC
0.2263,Tue Sep 25 08:30:00 +0000 2018,0.787,0.0,0.213,1044504277933117440,"Plastic is everywhere. Are you surprised?

#PlasticsWatch https://t.co/q1QXHYgYAR",54,@BBC
0.0,Tue Sep 25 08:02:07 +0000 2018,1.0,0.0,0.0,1044497260158078976,"🤔🎨Quiz: Can you guess which musicians painted these pictures?

https://t.co/CNo9uMGasj https://t.co/YrQeRins9E",55,@BBC
0.6369,Tue Sep 25 07:32:06 +0000 2018,0.769,0.0,0.231,1044489707302924288,"🎓What's the best university name in the world to put on a job application?

https://t.co/2uEYRC075L https://t.co/tLmNn6W4Rt",56,@BBC
0.6369,Mon Sep 24 20:45:07 +0000 2018,0.802,0.0,0.198,1044326887886127106,"️⚽️🏆 @HKane, @hazardeden10 and @MoSalah are on the shortlist for the best men's player, while England's @LucyBronze… https://t.co/3cD3mKTSMk",57,@BBC
-0.34,Mon Sep 24 18:02:07 +0000 2018,0.888,0.112,0.0,1044285866976448513,"Keeping the head on is an unwritten rule of the job... 😳️⚽️

A video of Colorado's football mascot accidentally sho… https://t.co/vn9YzZeMLj",58,@BBC
-0.2714,Mon Sep 24 16:32:08 +0000 2018,0.901,0.099,0.0,1044263223682314241,"✨🕺💃 @ZoeTheBall is back to give the lowdown on this series of @BBCStrictly!

Strictly - It Takes Two | 6:30pm |… https://t.co/6rLJAtcYYx",59,@BBC
